OverallQual,GrLivArea,GarageCars,TotalBsmtSF,YearBuilt,LotArea,BedroomAbvGr,FullBath,SalePrice
7,1710,2,856,2003,8450,3,2,208500
6,1262,2,1262,1976,9600,3,2,181500
7,1786,2,920,2001,11250,3,2,223500
7,1717,3,756,1915,9550,3,1,140000
8,2198,3,1145,2000,14260,4,2,250000
5,1362,2,796,1993,14115,3,1,143000
8,1694,2,1686,2004,10084,3,2,307000
7,2090,2,1107,1973,10382,4,2,200000
7,1774,2,952,1931,6120,2,1,129900
5,1077,1,991,1939,7420,2,1,118000
6,1500,2,850,1985,8500,3,2,180000
8,2400,3,1500,2010,12000,4,3,320000
9,2800,3,1700,2015,15000,5,3,400000
4,900,1,700,1950,7000,2,1,100000
5,1200,2,820,1965,8200,3,2,150000
